secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,56,0,0.00736,13.9284,0,201,8,12.61286628,56.03822144,0,0,24,0,52,0,0,0,0,0,0,0,0
2,83,0,0.01502,31.7412,0,549,8,12.61277391,56.03826745,0,0,24,0,51,0,0,0,0,0,0,0,0
3,95,0,0.02451,32.6772,0,744,8.2,12.61265765,56.03832126,0,0,24,0,50,0,0,0,0,0,0,0,0
4,97,0,0.03529,33.0516,0,585,8,12.61252262,56.03838287,0,0,24,0,58,0,0,0,0,0,0,0,0
5,86,0,0.04796,37.0116,0,422,8,12.61236370,56.03845420,0,0,24,0,76,0,0,0,0,0,0,0,0
6,64,0,0.0566,37.2348,0,333,7.8,12.61225289,56.03850030,0,0,24,0,71,0,0,0,0,0,0,0,0
7,42,0,0.06737,37.3284,0,245,7.8,12.61210403,56.03854841,0,0,24,0,61,0,0,0,0,0,0,0,0
8,21,0,0.07781,37.3248,0,157,8,12.61194109,56.03857054,0,0,24,0,51,0,0,0,0,0,0,0,0
9,85,0,0.08983,37.1448,0,260,8.2,12.61174881,56.03857264,0,0,24,0,48,0,0,0,0,0,0,0,0
10,98,0,0.09973,35.6292,0,473,8.4,12.61161386,56.03852520,0,0,24,0,52,0,0,0,0,0,0,0,0
11,100,0,0.11051,37.008,0,614,8.4,12.61151369,56.03844481,0,0,24,0,52,0,0,0,0,0,0,0,0
12,102,0,0.11981,37.1988,0,569,8.4,12.61144630,56.03837114,0,0,24,0,49,0,0,0,0,0,0,0,0
13,103,0,0.13332,37.2924,0,551,8.4,12.61135494,56.03826058,0,0,24,0,50,0,0,0,0,0,0,0,0
14,105,0,0.14705,39.4992,0,504,8.6,12.61126551,56.03815044,0,0,24,0,53,0,0,0,0,0,0,0,0
15,105,0,0.15984,41.1012,0,464,8.6,12.61115838,56.03805162,0,0,24,0,51,0,0,0,0,0,0,0,0
16,105,0,0.17212,41.0904,0,493,8.8,12.61104473,56.03796000,0,0,24,0,51,0,0,0,0,0,0,0,0
17,106,0,0.18416,40.7736,0,484,9,12.61093174,56.03787317,0,0,24,0,50,0,0,0,0,0,0,0,0
18,109,0,0.19492,38.6712,0,480,9.2,12.61080894,56.03780494,0,0,24,0,51,0,0,0,0,0,0,0,0
19,109,0,0.20648,38.8728,0,447,9.4,12.61066268,56.03774316,0,0,24,0,57,0,0,0,0,0,0,0,0
20,100,0,0.21867,42.912,0,478,9.4,12.61050711,56.03767519,0,0,24,0,51,0,0,0,0,0,0,0,0
21,100,0,0.23114,43.218,0,500,9.4,12.61034308,56.03761123,0,0,24,0,52,0,0,0,0,0,0,0,0
22,100,0,0.24122,42.8544,0,479,9.6,12.61020218,56.03756807,0,0,24,0,51,0,0,0,0,0,0,0,0
23,100,0,0.25571,41.868,0,476,9.6,12.61000478,56.03749866,0,0,24,0,50,0,0,0,0,0,0,0,0
24,101,0,0.26704,42.4008,0,470,9.8,12.60985181,56.03744309,0,0,24,0,50,0,0,0,0,0,0,0,0
25,101,0,0.2771,42.4188,0,459,10,12.60972198,56.03738911,0,0,24,0,51,0,0,0,0,0,0,0,0
26,102,0,0.28903,42.9012,0,452,10,12.60957127,56.03732298,0,0,24,0,51,0,0,0,0,0,0,0,0
27,101,0,0.30377,43.2288,0,416,10.2,12.60939123,56.03723815,0,0,24,0,47,0,0,0,0,0,0,0,0
28,101,0,0.31589,43.2288,0,370,10.4,12.60924806,56.03716557,0,0,24,0,51,0,0,0,0,0,0,0,0
29,100,0,0.32774,43.2288,0,390,10.8,12.60910649,56.03709340,0,0,24,0,48,0,0,0,0,0,0,0,0
30,100,0,0.33717,43.2288,0,444,11,12.60899451,56.03703649,0,0,24,0,51,0,0,0,0,0,0,0,0
31,85,0,0.3498,43.2288,0,429,11.4,12.60883400,56.03696482,0,0,24,0,49,0,0,0,0,0,0,0,0
32,59,0,0.36116,43.2288,0,373,11.6,12.60867533,56.03691453,0,0,24,0,50,0,0,0,0,0,0,0,0
33,33,0,0.3748,43.218,0,317,11.8,12.60846268,56.03688821,0,0,24,0,50,0,0,0,0,0,0,0,0
34,59,0,0.38443,40.6692,0,200,11.8,12.60831055,56.03690212,0,0,24,0,51,0,0,0,0,0,0,0,0
35,94,0,0.39571,40.2012,0,465,12,12.60814744,56.03694613,0,1.36,24,0,51,0,0,0,0,0,0,0,0
36,95,0,0.40685,40.212,0,548,12.4,12.60800754,56.03700757,0,1.65,24,0,50,0,0,0,0,0,0,0,0
37,96,0,0.41885,40.4748,0,536,12.4,12.60786673,56.03708225,0,1.57,24,0,50,0,0,0,0,0,0,0,0
38,98,0,0.433,41.7672,0,497,12.4,12.60770487,56.03717102,0,1.4,24,0,49,0,0,0,0,0,0,0,0
39,99,0,0.44302,42.5412,0,471,12.4,12.60758032,56.03722583,0,1.23,24,0,48,0,0,0,0,0,0,0,0
40,100,0,0.4571,42.6996,0,465,12.6,12.60739357,56.03729683,0,1.08,24,0,50,0,0,0,0,0,0,0,0
41,100,0,0.46753,42.678,0,464,12.8,12.60724378,56.03734041,0,0.97,24,0,48,0,0,0,0,0,0,0,0
42,100,0,0.47968,42.3684,0,489,13,12.60705905,56.03737361,0,0.94,24,0,50,0,0,0,0,0,0,0,0
43,100,0,0.49401,42.3684,0,511,13.2,12.60683014,56.03738760,0,0.98,24,0,50,0,0,0,0,0,0,0,0
44,99,0,0.50503,42.372,0,511,13.6,12.60665361,56.03738400,0,1.07,24,0,51,0,0,0,0,0,0,0,0
45,97,0,0.51802,42.57,0,478,13.8,12.60644499,56.03738023,0,1.23,24,0,53,0,0,0,0,0,0,0,0
46,95,0,0.52934,42.57,0,466,14.2,12.60626402,56.03738023,0,1.47,24,0,48,0,0,0,0,0,0,0,0
47,96,0,0.53892,42.57,0,460,14.6,12.60611005,56.03737989,0,1.75,24,0,49,0,0,0,0,0,0,0,0
48,102,0,0.55215,42.4584,0,472,15,12.60589773,56.03737260,0,2.03,24,0,49,0,0,0,0,0,0,0,0
49,102,0,0.56338,39.6972,0,504,15.6,12.60571803,56.03737260,0,2.32,24,0,51,0,0,0,0,0,0,0,0
50,100,0,0.57406,39.1752,0,543,16.2,12.60554628,56.03737277,0,2.68,24,0,51,0,0,0,0,0,0,0,0
51,98,0,0.58408,38.1168,0,512,16.8,12.60538627,56.03737646,0,3.04,24,0,48,0,0,0,0,0,0,0,0
52,96,0,0.59473,37.296,0,500,17.2,12.60521486,56.03737621,0,3.43,24,0,50,0,0,0,0,0,0,0,0
53,94,0,0.60501,36.738,0,497,17.8,12.60505024,56.03737260,0,3.8,24,0,50,0,0,0,0,0,0,0,0
54,91,0,0.61464,36.2736,0,470,18.4,12.60489584,56.03737260,0,4.1,24,0,49,0,0,0,0,0,0,0,0
